step,mean_reward,std_reward,mean_reward_released,std_reward_released,mean_reward_timeout,std_reward_timeout,released_eval_count,timeout_eval_count,mean_landing_dist,std_landing_dist,release_rate,mean_score
20000,26.640184173819357,31.563870604781858,32.044764084635815,28.54611418280185,-22.001035023528743,0.0,9.0,1.0,0.381851246224082,0.19126766766394998,0.9,35.40004736016685
40000,-7.533757913747708,20.7594597702882,23.1472945324701,9.57812585553151,-20.682780390698195,0.10122994389783109,3.0,7.0,0.9371655511667225,0.5643771155473927,0.3,16.897343291596343
60000,5.349701006706541,35.86418407711573,45.235940156633895,23.749657736362266,-21.24112509324503,0.1480622768867437,4.0,6.0,0.49639928802406563,0.22573960812837554,0.4,28.387214760507362
80000,59.001496225276036,39.810493019204586,67.83569282594138,31.313612379341322,-20.506273180711975,0.0,9.0,1.0,0.17297784991563575,0.09311324244408202,0.9,49.63289686115641
100000,80.80781084821852,33.77875226866676,80.80781084821852,33.77875226866676,nan,nan,10.0,0.0,0.14611319587140087,0.12839769779230256,1.0,52.56072183264898
120000,95.35909512705148,27.02123960330774,95.35909512705148,27.02123960330774,nan,nan,10.0,0.0,0.09458060407695493,0.0461388154551033,1.0,55.84911849252919
140000,62.32938743789629,52.82918919840073,83.6653821463236,34.82135364013304,-23.014591395812985,0.12678926021075476,8.0,2.0,2.3323544439190513,4.515176709631547,0.8,42.99119615613081
160000,115.33754325094083,10.04699846324414,115.33754325094083,10.04699846324414,nan,nan,10.0,0.0,0.06178445537034024,0.017816129785415524,1.0,57.486802753639026
180000,92.57676305067957,47.44677107539586,105.23830681986368,29.96968597897134,-21.37713087197744,0.0,9.0,1.0,0.20518359468922442,0.3701827475375698,0.9,50.22218880812861
200000,113.74989445604919,24.05510509625146,113.74989445604919,24.05510509625146,nan,nan,10.0,0.0,0.06172412666118586,0.04406866191536032,1.0,56.49842836083444
