condition,wind_speed_ms,mean_miss_m,std_miss_m,release_rate,mean_score
no_wind,0.0,0.06591062339512468,0.1324195023790479,0.985,59.75118636488558
light_crosswind,0.5,0.06565621732802224,0.13245030038210642,0.985,59.69540336881173
moderate_crosswind,1.0,0.06542192258191798,0.13247422217428506,0.985,60.0193758425855
strong_crosswind,2.0,0.06498794380675976,0.13251034047918062,0.985,59.866793732299136
headwind,1.0,0.06627052817630287,0.13255399735756979,0.985,59.74385295745384
random_sphere,1.0,0.06603864027393856,0.13237855724741948,0.985,59.749439936040474
