step,mean_reward,std_reward,mean_reward_released,std_reward_released,mean_reward_timeout,std_reward_timeout,released_eval_count,timeout_eval_count,mean_landing_dist,std_landing_dist,release_rate,mean_score
10000,38.2036533986516,44.10917304146311,52.914769008864496,36.7414882771431,-20.64080904219997,0.09715343491352435,8.0,2.0,0.5134112944893449,0.2788215969328189,0.8,31.667714864904873
20000,15.785571282588416,45.07695870041067,31.37107868171191,45.75003497350257,-20.580612648699752,0.05121477180770341,7.0,3.0,0.8545020901138063,0.42503918711734656,0.7,16.483913270567594
30000,-0.013836348053445491,45.84776477127588,20.875600281201873,57.71735970112115,-20.903272977308767,0.06582401188864408,5.0,5.0,1.5458190971462016,0.9838688553850645,0.5,15.795866985084714
