env_step,episode_index,episode_return,episode_length,released
14,1,-4.287653651585184,14,1
28,2,-0.4070952446253631,14,1
42,3,0.7844592618765018,14,1
56,4,-3.333978094560391,14,1
70,5,-4.115894733991177,14,1
84,6,-2.6368160862081282,14,1
98,7,-0.7386791169627431,14,1
112,8,60.80761693151894,14,1
126,9,-0.3812824920650811,14,1
140,10,-7.007163665228737,14,1
154,11,-4.590549826525824,14,1
168,12,131.795813825933,14,1
182,13,-3.263704558998356,14,1
196,14,-2.4479781094532873,14,1
210,15,23.641173143960238,14,1
224,16,-1.5598928089055824,14,1
238,17,-8.675210283495586,14,1
252,18,-6.409737355586185,14,1
266,19,-8.599648991475101,14,1
280,20,0.2754072674093622,14,1
294,21,-0.9977663307455882,14,1
308,22,-1.8358374777175408,14,1
322,23,16.442358715371334,14,1
336,24,-2.797706491948523,14,1
350,25,-2.42851503067968,14,1
364,26,-1.4695576727037603,14,1
378,27,-1.5853370328652785,14,1
392,28,4.355639274223983,14,1
406,29,-6.53673571855268,14,1
420,30,-1.195041674192526,14,1
434,31,-3.0684143148700618,14,1
448,32,-2.9546404165716473,14,1
462,33,10.275236351485688,14,1
476,34,-3.854653970284224,14,1
490,35,-1.4506750656910503,14,1
504,36,4.512375855704115,14,1
518,37,-1.3312164904514292,14,1
532,38,11.330133654586007,14,1
546,39,-2.216425775624373,14,1
560,40,-2.0753938190728833,14,1
574,41,-5.060000187753076,14,1
588,42,-3.1908768465340582,14,1
602,43,25.865559602072416,14,1
616,44,7.478274707010024,14,1
630,45,-1.4848228754628314,14,1
644,46,-2.1919852881021784,14,1
658,47,-1.5691004774533066,14,1
672,48,-0.12406773047126562,14,1
686,49,3.9559338369141477,14,1
700,50,-2.1505753698626733,14,1
714,51,-0.47264697482804585,14,1
728,52,38.11495343678555,14,1
742,53,-0.5290182333478453,14,1
756,54,-4.111219160466019,14,1
770,55,-3.672101588396081,14,1
784,56,11.901930481378693,14,1
798,57,-2.386617303754074,14,1
812,58,3.91355659719775,14,1
826,59,-3.7796775927783495,14,1
840,60,107.93277801888341,14,1
854,61,-0.3326168833912707,14,1
868,62,-1.5682324998619734,14,1
882,63,-4.194402752026614,14,1
896,64,-3.005401289538685,14,1
910,65,19.77494967345717,14,1
924,66,-1.6415746136174063,14,1
938,67,12.039225376328561,14,1
952,68,-2.6253813591317248,14,1
966,69,0.5829854753690957,14,1
980,70,25.381272901103188,14,1
994,71,13.17371278744496,14,1
1008,72,-1.2893807074880788,14,1
1022,73,-5.579220125255963,14,1
1036,74,-2.4859972225886553,14,1
1050,75,7.530221431120606,14,1
1064,76,-2.2696297614653003,14,1
1078,77,5.741043105133949,14,1
1092,78,-4.343855895896157,14,1
1106,79,-0.915030061372051,14,1
1120,80,28.046210252192274,14,1
1134,81,11.466017354724835,14,1
1148,82,14.454847664180658,14,1
1162,83,-5.437089174531097,14,1
1176,84,-3.18718496142803,14,1
1190,85,-1.4179266539033366,14,1
1204,86,3.842172856801059,14,1
1218,87,10.03414127163971,14,1
1232,88,-3.453422885997093,14,1
1246,89,-3.3106890478432325,14,1
1260,90,-2.567460512800609,14,1
1274,91,68.03469855720284,14,1
1288,92,122.798692455221,14,1
1302,93,50.759554156194014,14,1
1316,94,9.428709914465731,14,1
1330,95,-3.6753688573828978,14,1
1344,96,-0.9111534870582512,14,1
1358,97,19.346212092000613,14,1
1372,98,-1.723603548221944,14,1
1386,99,10.107320211608608,14,1
