step,mean_reward,std_reward,mean_reward_released,std_reward_released,mean_reward_timeout,std_reward_timeout,released_eval_count,timeout_eval_count,mean_landing_dist,std_landing_dist,release_rate,mean_score
15000,-15.807819934162675,10.522263703548356,4.9962476521958825,3.5363583030023857,-21.008836830752312,0.13490924321880188,3.0,12.0,0.7065289172194809,0.08220598649043953,0.2,14.72138142903378
30000,-20.966718837552115,0.05662415257845019,nan,nan,-20.966718837552115,0.05662415257845019,0.0,15.0,0.67,0.0,0.0,16.277324518089706
45000,111.56288927251849,17.906073821327798,111.56288927251849,17.906073821327798,nan,nan,15.0,0.0,0.16487927597461768,0.07036957635523945,1.0,64.5418736128852
60000,86.85351273603047,54.60374309361347,113.80497602706619,9.749424049104896,-20.95234042811249,0.10607284618631098,12.0,3.0,1.346428457785206,3.6208909197870547,0.8,50.465596006642336
75000,114.41249616467924,38.30041479027388,124.22431315285276,11.297150552965828,-22.95294166974995,0.0,14.0,1.0,0.15632626195487778,0.14541139568197,0.9333333333333333,71.18347105615294
90000,134.69797387914528,6.208795042389158,134.69797387914528,6.208795042389158,nan,nan,15.0,0.0,0.06836699526652136,0.030716607971036012,1.0,82.63945588945168
105000,-21.08009781421512,0.06143466193827273,nan,nan,-21.08009781421512,0.06143466193827273,0.0,15.0,1.235223222772329,0.08396161844878948,0.0,1.2431205232531999
120000,133.52048075083556,3.944496888971034,133.52048075083556,3.944496888971034,nan,nan,15.0,0.0,0.07252545265890868,0.020503597242783354,1.0,77.62951980652448
135000,135.934059935978,4.737487367144691,135.934059935978,4.737487367144691,nan,nan,15.0,0.0,0.06207875829879116,0.02062313974287477,1.0,82.80232328648091
150000,124.07350817865282,23.996145948681296,124.07350817865282,23.996145948681296,nan,nan,15.0,0.0,0.11035400565381508,0.0924959536559675,1.0,75.97783723009951
