env_step,episode_index,episode_return,episode_length,released
14,1,-1.8199376279317994,14,1
28,2,-3.265361536515173,14,1
42,3,-3.266312255340916,14,1
56,4,0.37292257289560954,14,1
70,5,85.86012667939164,14,1
84,6,-1.0803979050681887,14,1
98,7,2.0713218999525345,14,1
112,8,-5.213121666086514,14,1
126,9,-1.3076613624110154,14,1
140,10,8.266860403191172,14,1
154,11,5.306387553532165,14,1
168,12,2.64076375174434,14,1
182,13,-5.226594233832124,14,1
196,14,3.2850076602833465,14,1
210,15,26.13997409544306,14,1
224,16,43.52195017210071,14,1
238,17,1.5628195791450463,14,1
252,18,5.00409171792416,14,1
266,19,2.720964902937001,14,1
280,20,-3.6895473041467914,14,1
294,21,-2.8948926991446244,14,1
308,22,-6.501510932706537,14,1
322,23,20.13420781508707,14,1
336,24,79.91542502556389,14,1
350,25,-5.25057331908529,14,1
364,26,-1.5877094601452546,14,1
378,27,-2.6471965888589004,14,1
392,28,13.643896134354003,14,1
406,29,-0.49291642378483624,14,1
420,30,102.5830268213473,14,1
434,31,-4.92042951018911,14,1
448,32,-1.0996386071498268,14,1
462,33,-3.2985443645404837,14,1
476,34,-3.8171135893588057,14,1
490,35,15.919044199549123,14,1
504,36,-3.0957013521923047,14,1
518,37,15.25352619584938,14,1
532,38,70.30950201377992,14,1
546,39,-3.5927100120277387,14,1
560,40,14.282727622772194,14,1
574,41,1.6722128233465765,14,1
588,42,-4.377542147753032,14,1
602,43,-3.5663166420037826,14,1
616,44,6.839817219470818,14,1
630,45,3.7085441444801255,14,1
644,46,20.0577877345066,14,1
658,47,3.6683984952085464,14,1
672,48,5.484489917777383,14,1
686,49,12.985638679159466,14,1
700,50,-4.647354502662881,14,1
714,51,18.57407864337805,14,1
728,52,40.51680038344649,14,1
742,53,-1.234605987140272,14,1
756,54,31.821048545907093,14,1
770,55,-3.418204470862737,14,1
784,56,9.546562613364301,14,1
798,57,17.270388377695078,14,1
812,58,-3.8939607422214744,14,1
826,59,-1.3963148422965186,14,1
840,60,89.1694731169349,14,1
854,61,-0.1540068341383825,14,1
868,62,-1.771550203569712,14,1
882,63,13.063295053556663,14,1
896,64,34.87414368243367,14,1
910,65,-3.836345467240044,14,1
924,66,-1.1841259877323762,14,1
938,67,6.0531243501849215,14,1
952,68,4.099802547797473,14,1
966,69,20.782825490210673,14,1
980,70,45.618404248442985,14,1
994,71,5.954776090486772,14,1
1008,72,4.769986508343622,14,1
1022,73,3.034468734126283,14,1
1036,74,-1.5598713260670525,14,1
1050,75,5.102079996171693,14,1
1064,76,0.12174781626413228,14,1
1078,77,17.716183428249977,14,1
1092,78,17.33658968354806,14,1
1106,79,-2.8785782363007884,14,1
1120,80,66.98793063668485,14,1
1134,81,-0.8988283878511214,14,1
1148,82,4.110301941321104,14,1
1162,83,-0.8999609528250267,14,1
1176,84,-1.7133115103444663,14,1
1190,85,8.849332567501062,14,1
1204,86,51.313182899408616,14,1
1218,87,3.7233534046932726,14,1
1232,88,-1.2105799842020857,14,1
1246,89,-7.839039262221768,14,1
1260,90,6.43249736176534,14,1
1274,91,29.306916179041313,14,1
1288,92,0.14558381940850235,14,1
1302,93,5.585492747377199,14,1
1316,94,10.028688735342799,14,1
1330,95,-3.008244409695049,14,1
1344,96,2.155730732726132,14,1
1358,97,-2.4670632624813216,14,1
1372,98,-2.1649153243775845,14,1
1386,99,-2.3210148692883297,14,1
1400,100,0.44594268040981344,14,1
1414,101,-1.4252046473336841,14,1
1428,102,17.746145233371138,14,1
1442,103,-2.621733781801949,14,1
1456,104,41.14483349563388,14,1
1470,105,10.006955739457148,14,1
1485,106,-2.994581709970378,15,1
1499,107,-0.826094194801438,14,1
1513,108,9.12386485426539,14,1
1527,109,-5.647111746186096,14,1
1541,110,6.9026501289327955,14,1
1555,111,3.1199072847479776,14,1
1569,112,29.894755190347794,14,1
1583,113,78.1476755192163,14,1
1597,114,-5.513070652787095,14,1
1611,115,-1.1785083047933598,14,1
1625,116,-1.0319777337378544,14,1
1639,117,-1.1398873346076106,14,1
1653,118,55.698263417439556,14,1
1667,119,-2.4282779701073323,14,1
1681,120,-1.7694116965131803,14,1
1695,121,-4.940906601641455,14,1
1709,122,-2.1515792962909557,14,1
1723,123,0.7766081264391934,14,1
1737,124,-5.6295117664487195,14,1
1751,125,4.342658089681738,14,1
1765,126,2.51087266730851,14,1
1779,127,80.57248919292905,14,1
1794,128,-2.7797401151026837,15,1
1808,129,16.58286674226953,14,1
1822,130,3.4521117140492334,14,1
1836,131,-3.4193753191676612,14,1
1850,132,3.75273511228443,14,1
1864,133,1.094593247773087,14,1
1878,134,-9.053426446232075,14,1
1892,135,-1.7508135422677684,14,1
1906,136,-2.6096422042471428,14,1
1920,137,-1.5048642689358185,14,1
1934,138,1.6144557100962091,14,1
1948,139,15.680584358930007,14,1
1962,140,4.203239924959406,14,1
1976,141,1.2894543120769064,14,1
1990,142,19.592338773585936,14,1
2004,143,-2.17144959572716,14,1
2018,144,4.425633476836645,14,1
2032,145,118.25554596155011,14,1
2046,146,2.3078497740564186,14,1
2060,147,46.27774781607783,14,1
2074,148,1.4167044121194794,14,1
2088,149,-1.4127174213914369,14,1
2102,150,-1.2276988451881596,14,1
2116,151,-6.173969770855522,14,1
2130,152,-3.04363601719426,14,1
2144,153,-0.42487642270120163,14,1
2158,154,-3.200121200758138,14,1
2172,155,-3.162331959248012,14,1
2186,156,0.8956890994411377,14,1
2200,157,12.660982683088523,14,1
2214,158,-7.1183146497442635,14,1
2228,159,60.90227324457931,14,1
2242,160,16.338504969545166,14,1
