step,mean_reward,std_reward,mean_reward_released,std_reward_released,mean_reward_timeout,std_reward_timeout,released_eval_count,timeout_eval_count,mean_landing_dist,std_landing_dist,release_rate,mean_score
25000,-21.074893479685503,0.2446646834470602,nan,nan,-21.074893479685503,0.2446646834470602,0.0,15.0,1.8893981859565927,0.6826208810946669,0.0,0.2264412894442086
50000,-2.370614609382436,23.292366699234442,19.106508959236496,17.249744722478763,-21.163097731924005,0.3556882552055584,7.0,8.0,1.6405950117700026,1.931578572993657,0.4666666666666667,18.364506039645924
75000,37.98149176955672,36.1952274477161,42.20933589087038,33.69796253687407,-21.20832592883443,0.0,14.0,1.0,0.3239586544460566,0.20777541308988431,0.9333333333333333,46.09457311932268
100000,67.6444626819003,45.189513338447426,73.93893050309008,39.920558125363286,-20.478086814756576,0.0,14.0,1.0,0.18751140040612224,0.1393773562036034,0.9333333333333333,60.301717938457315
125000,68.29676829040038,41.60835857734333,74.65878845006398,35.324030110028524,-20.771513944890057,0.0,14.0,1.0,0.2381641131964183,0.3540549770126824,0.9333333333333333,64.46762290828532
150000,85.3915140288302,29.87896324936302,85.3915140288302,29.87896324936302,nan,nan,15.0,0.0,0.11745256845848387,0.050355358692103946,1.0,69.68790722081516
175000,105.1110212009033,22.590736586164365,105.1110212009033,22.590736586164365,nan,nan,15.0,0.0,0.08536656737572904,0.03670593757402289,1.0,77.27299323627422
200000,102.76399471304032,27.25371273669917,102.76399471304032,27.25371273669917,nan,nan,15.0,0.0,0.08791098542590338,0.04327861638082085,1.0,76.82440059749906
225000,111.27919783461526,16.49213077767934,111.27919783461526,16.49213077767934,nan,nan,15.0,0.0,0.07469462863938321,0.02724093565545824,1.0,77.55250154653011
250000,115.45723342241477,16.691591361654744,115.45723342241477,16.691591361654744,nan,nan,15.0,0.0,0.06657048446129527,0.02961742020823512,1.0,79.34322125635329
