step,mean_reward,std_reward,mean_reward_released,std_reward_released,mean_reward_timeout,std_reward_timeout,released_eval_count,timeout_eval_count,mean_landing_dist,std_landing_dist,release_rate,mean_score
100000,50.80673108455843,29.3926547600811,50.80673108455843,29.3926547600811,nan,nan,10.0,0.0,0.2112584307879985,0.11223656223523014,1.0,47.04018209469579
200000,120.3823207317563,10.12092862915727,120.3823207317563,10.12092862915727,nan,nan,10.0,0.0,0.05066190520713796,0.02016477208349011,1.0,59.63030420501767
300000,122.23948648245275,12.869282766758568,122.23948648245275,12.869282766758568,nan,nan,10.0,0.0,0.044926691996388234,0.026076805526594145,1.0,59.66502032420799
400000,132.83202669276983,7.192571893816601,132.83202669276983,7.192571893816601,nan,nan,10.0,0.0,0.024438595824003113,0.01604551511631652,1.0,69.09339806953028
500000,134.69884229437582,3.989442454453416,134.69884229437582,3.989442454453416,nan,nan,10.0,0.0,0.017685446854860398,0.007499536745717587,1.0,67.95390698011121
600000,137.26579652811625,4.839916523423203,137.26579652811625,4.839916523423203,nan,nan,10.0,0.0,0.013697373718023565,0.010095976161909943,1.0,77.16384980634834
700000,139.90370374682493,4.8354880850162285,139.90370374682493,4.8354880850162285,nan,nan,10.0,0.0,0.010192702672177357,0.006164092565640458,1.0,83.58227051070128
800000,138.9110362368157,3.0613430236770114,138.9110362368157,3.0613430236770114,nan,nan,10.0,0.0,0.010771784935962758,0.004131244797652905,1.0,79.18336659446291
900000,126.46746067489059,49.20390030220613,142.83546273792578,3.303261205019569,-20.8445578924259,0.0,9.0,1.0,0.04409836994439917,0.11291234457231702,0.9,92.86098803888929
1000000,138.93208896575905,3.8526331397005866,138.93208896575905,3.8526331397005866,nan,nan,10.0,0.0,0.011367951943016616,0.0055232366205971665,1.0,80.38003957917148
